"","year","pitch","pitch_count","sum_whiffs","sum_swings","sum_takes","sum_abs","sum_hits","mean_spin_rate","mean_velocity","mean_release_extension","mean_effective_speed","mean_eff_min_vel","mean_iso","mean_babip","mean_slg","mean_woba","mean_xwoba","mean_xba","mean_launch_speed","mean_launch_angle","ba","swing_percentage","whiff_percentage","contact_rate","take_percentage"
"36","2020","Slider",45057,7694,21268,23789,10291,2112,2438.86599196573,84.2547905985751,6.2637002019664,84.142347027099,-0.108078655924717,0.149398140133609,0.269104556450718,0.354424173824267,0.271200679139756,0.271683467607697,0.204987060834055,85.6336973167321,13.6664780167344,0.205227869011758,0.472024324744213,0.361764152717698,0.638235847282302,0.527975675255787
"37","2021","Change",79413,12173,40637,38768,20244,4803,1752.10378653369,84.8188117814464,6.30666314079559,84.7399097125156,-0.075616083009079,0.154653696498054,0.275863573974034,0.393566783775956,0.293344993892688,0.297564101595457,0.244169808469646,85.7950713359274,7.94381272587612,0.237255483106106,0.511717225139461,0.299554593104806,0.700445406895194,0.488182035686852
"38","2021","Curveball",56471,7334,22941,33530,12079,2581,2516.94853995856,78.7356023445662,6.2129705512564,78.3614988224044,-0.375316534150273,0.141889182058047,0.290805227461883,0.360076800481663,0.270973597067521,0.272310141488552,0.219456783127623,86.5144729153017,10.8443696764711,0.213676628860005,0.406243912804802,0.319689638638246,0.680310361361754,0.593756087195198
"39","2021","Cutter",48040,5780,24277,23761,10999,2848,2371.35942964197,88.5657910074937,6.25950104079933,88.5812943380516,0.0199021648626144,0.1750993755204,0.289195899250624,0.434140716069942,0.325975145711907,0.327162427144047,0.2572623438801,87.157462531224,12.912537468776,0.258932630239113,0.505349708576187,0.238085430654529,0.761914569345471,0.494608659450458
"40","2021","Fastball",248049,26099,119104,128928,52774,13533,2274.53338251716,93.6811746872594,6.3684304713988,93.681168438494,0.00252571064588079,0.198514148414225,0.297189349684941,0.455165858358631,0.345054513422751,0.349133227709041,0.253921596136247,90.0722683824567,18.29144967325,0.256433092052905,0.480163193562562,0.219127821063944,0.780872178936056,0.5197682715915
"41","2021","Sinker",108550,7793,49348,59197,25829,7238,2120.95825886688,93.0472924919392,6.30691902349148,92.8946515891294,-0.153318286503915,0.147821031782589,0.307354205435283,0.428308429295256,0.344605315522801,0.347817088899125,0.276619778903731,88.4954058037771,4.13084753569783,0.28022765108986,0.454610778443114,0.157919267244873,0.842080732755127,0.545343159834178
"42","2021","Slider",134713,22935,64799,69913,32002,6712,2419.16290187287,84.6487035401186,6.26403606185001,84.6474646099486,-7.86857986978782e-05,0.152809558097585,0.276649744271154,0.36258842131049,0.273804413827916,0.270804977990246,0.206475744731392,86.2667775196158,13.5350975778136,0.209736891444285,0.481015195266975,0.35394064723221,0.64605935276779,0.518977381544469
"43","2022","Change",79478,12201,40564,38904,20394,4743,1745.62426080173,85.3344762072523,6.3388588036941,85.2766571881527,-0.0560456981806292,0.135877412617328,0.276994149324341,0.368835224842095,0.285454326983568,0.286471539293893,0.236266073630439,85.7643800800221,6.87722766048466,0.232568402471315,0.510380231007323,0.300783946356375,0.699216053643625,0.48949394801077
"44","2022","Curveball",58763,7432,24250,34513,12544,2714,2520.81025475214,79.1118203631537,6.22135816755441,78.736472610316,-0.376951483076086,0.143742542075796,0.28565692697786,0.364047223593077,0.276594710957575,0.269391794156187,0.217591903068257,86.5726426492861,11.4092983680207,0.216358418367347,0.412674642206831,0.306474226804124,0.693525773195876,0.587325357793169
"45","2022","Cutter",50475,5929,25304,25171,11588,3045,2373.96267459138,88.9957424467558,6.2774632986627,88.9834985636454,-0.00726102030708292,0.171520911342249,0.290974383358098,0.434658187221397,0.328396156513125,0.323750946012878,0.26008239722635,87.1574343734522,13.3234274393264,0.262771832930618,0.501317483902922,0.234310780904205,0.765689219095795,0.498682516097078
"46","2022","Fastball",230913,24459,112254,118640,49550,12501,2276.02850857249,93.9223902508737,6.38779154919818,93.8216837943295,-0.09911221975376,0.178177690298944,0.293620800907701,0.430580807490267,0.337538258997978,0.339658901837489,0.24847361127351,90.2687293482827,18.823365509954,0.252290615539859,0.486131140299593,0.217889785664653,0.782110214335347,0.513786577628804
"47","2022","Sinker",110611,7655,50905,59697,26857,7521,2140.65341602553,93.3536935747801,6.33668161394436,93.2444441330428,-0.111824321270037,0.134578622379329,0.308755738579346,0.414901926571498,0.340850231893754,0.342317852654799,0.274741291553281,88.770852808491,4.75224706403522,0.280038723610232,0.4602164341702,0.150378155387487,0.849621844612514,0.539702199600401
"48","2022","Slider",145865,24190,70773,75091,34657,7299,2432.53489870771,84.6004072258595,6.2759609913276,84.5108007404106,-0.0894347513111441,0.141503431254928,0.273912412161931,0.352327467178556,0.27069320261886,0.267765961676893,0.20921762588695,86.156559832722,14.6923566311315,0.210606803820296,0.485195214753368,0.341797012985178,0.658202987014822,0.514797929592431
